"group"	"weight"
"1"	"before"	5.5
"2"	"before"	7.5
"3"	"before"	4.5
"4"	"before"	6.3
"5"	"before"	6.1
"6"	"before"	4.5
"7"	"before"	7.1
"8"	"before"	4.1
"9"	"before"	7.9
"10"	"before"	6.6
"11"	"before"	7
"12"	"before"	8.5
"13"	"before"	10.2
"14"	"before"	9.5
"15"	"before"	5.6
"16"	"before"	5.9
"17"	"before"	5.7
"18"	"before"	4.8
"19"	"before"	6.2
"20"	"before"	6.9
"21"	"after"	7.3
"22"	"after"	8.1
"23"	"after"	5.6
"24"	"after"	9.1
"25"	"after"	7.3
"26"	"after"	5.7
"27"	"after"	8
"28"	"after"	6
"29"	"after"	7.9
"30"	"after"	9.5
"31"	"after"	8.2
"32"	"after"	9.1
"33"	"after"	11
"34"	"after"	9.8
"35"	"after"	7.1
"36"	"after"	6.5
"37"	"after"	6
"38"	"after"	8.2
"39"	"after"	9.2
"40"	"after"	9.4
