"var1"	"var2"	"var3"	"var4"	"var5"
"1"	21	16.46	4	4	160
"2"	21	17.02	4	4	160
"3"	22.8	18.61	4	1	108
"4"	21.4	19.44	3	1	258
"5"	18.7	17.02	3	2	360
"6"	18.1	20.22	3	1	225
"7"	14.3	15.84	3	4	360
"8"	24.4	20	4	2	146.7
"9"	22.8	22.9	4	2	140.8
"10"	19.2	18.3	4	4	167.6
"11"	17.8	18.9	4	4	167.6
"12"	16.4	17.4	3	3	275.8
"13"	17.3	17.6	3	3	275.8
"14"	15.2	18	3	3	275.8
"15"	10.4	17.98	3	4	472
"16"	10.4	17.82	3	4	460
"17"	14.7	17.42	3	4	440
"18"	32.4	19.47	4	1	78.7
"19"	30.4	18.52	4	2	75.7
"20"	33.9	19.9	4	1	71.1
"21"	21.5	20.01	3	1	120.1
"22"	15.5	16.87	3	2	318
"23"	15.2	17.3	3	2	304
"24"	13.3	15.41	3	4	350
"25"	19.2	17.05	3	2	400
"26"	27.3	18.9	4	1	79
"27"	26	16.7	5	2	120.3
"28"	30.4	16.9	5	2	95.1
"29"	15.8	14.5	5	4	351
"30"	19.7	15.5	5	6	145
"31"	15	14.6	5	8	301
"32"	21.4	18.6	4	2	121
