"feature"	"geneA"	"geneB"	"geneC"	"geneD"
"1"	5.752	16.643	1.108	34.244	28.418
"2"	15.766	72.7	19.274	57.923	74.064
"3"	8.18	24.745	-9.423	32.62	31.759
"4"	17.66	56.805	61.973	61.373	4.299
"5"	18.809	102.237	42.059	57.282	41.696
"6"	0.911	2.088	4.224	24.541	43.412
"7"	10.562	58.139	17.86	41.885	57.191
"8"	17.848	54.767	17.204	37.085	56.242
"9"	11.029	31.845	12.068	45.914	50.042
"10"	9.132	35.409	20.328	25.376	47.609
"11"	19.137	69.217	33.72	52.251	98.49
"12"	9.067	52.724	28.714	28.211	44.672
"13"	13.551	30.4	12.115	33.763	19.173
"14"	11.453	82.112	17.531	30.192	16.671
"15"	2.058	32.032	0.434	0.502	43.842
"16"	17.996	51.251	60.588	40.948	38.945
"17"	4.922	43.576	30.89	26.787	59.32
"18"	0.841	54.838	21.133	4.701	55.885
"19"	6.558	45.443	28.997	8.641	70.999
"20"	19.09	86.618	30.412	79.952	50.46
