"cell_type","MS4A1","CD14","LYZ","IL7R","CD3E","CD8A","FCER1A","CST3","FCGR3A","PPBP","GNLY","NKG7","UMAP1","UMAP2"
"CD4 T cells",0,0,1.63587332633801,2.59539043904661,2.22655458198837,1.63587332633801,0,0,0,0,0,0,6.03129434585571,0.617858469486237
"B cells",2.58304658493409,0,1.96272552273033,1.62514101547191,0,0,0,1.11171527229756,0,0,0,1.11171527229756,4.14100289344788,-8.8116312026978
"CD4 T cells",0,0,1.99541556441968,1.4297439776322,1.99541556441968,0,0,1.4297439776322,0,0,1.4297439776322,0,5.14797759056091,-1.69330644607544
"CD14+ Monocytes",0,0,4.52117468451863,0,0,0,0,4.43515156813049,1.5663872141438,1.5663872141438,0,1.5663872141438,-4.3280143737793,2.35063242912292
"NK cells",0,0,0,0,0,0,0,0,0,0,3.45354454230624,4.72955271221527,10.1962552070618,1.70873713493347
"CD4 T cells",0,0,1.72690240966538,0,2.32692808480662,0,0,0,0,0,0,0,4.41421365737915,0.223000094294548
"CD4 T cells",0,0,1.72235600442801,2.321936863655,0,0,0,0,0,0,3.17757478842262,3.17757478842262,6.40405690670013,1.3235194683075
"CD8 T cells",0,0,1.69097711722387,2.65846325941287,2.2874265325632,1.69097711722387,0,0,0,0,0,2.2874265325632,7.07708644866943,1.08210265636444
"CD8 T cells",2.17964170677835,0,0,0,2.17964170677835,0,0,0,0,0,2.17964170677835,2.17964170677835,6.97217392921448,2.04910612106323
"FCGR3A+ Monocytes",2.30918160180076,0,3.33927053728407,0,0,0,0,4.29768621153452,2.30918160180076,0,0,0,-5.4339866638184,2.55163168907166
"B cells",1.26833565852757,0,1.26833565852757,1.26833565852757,1.26833565852757,0,0,0,0,0,0,0,4.0125572681427,-8.7502880096436
"CD4 T cells",0,0,0,2.87640910778223,2.60733178829351,0,0,0,0,0,0,0,2.73734998703003,1.03842639923096
"CD4 T cells",0,0,2.22988054031027,0,1.63887585171395,0,0,0,0,0,0,0,5.12883234024048,-0.245165139436722
"CD14+ Monocytes",0,2.65241503451466,5.20586544553815,0,0,0,0,3.78104498903931,0,0,1.45793237384214,0,-2.2632637023926,2.03706336021423
"CD4 T cells",0,0,0,0,2.27089805024348,2.27089805024348,0,0,0,0,0,3.29821521770717,5.59972763061523,2.3218412399292
"CD4 T cells",0,0,2.61199900607317,0,0,0,0,0,0,0,0,0,3.99517107009888,2.40317487716675
"CD14+ Monocytes",0,1.15735305796392,4.63986665142086,1.15735305796392,0,0,0,4.34837329194628,2.02081916795289,0,0,1.67952384541575,-4.1304492950439,1.87606751918793
"CD4 T cells",0,0,1.48507590567967,2.05803927498675,2.6852046975842,0,0,0,0,0,1.48507590567967,0,4.90523195266724,-1.54015624523163
"B cells",4.29580009851104,0,1.10222529942298,1.10222529942298,1.95055305548125,1.10222529942298,0,0,0,0,1.10222529942298,1.61377196151535,4.15762209892273,-8.7741394042969
"B cells",2.18452599399909,0,2.18452599399909,0,0,0,0,0,0,0,0,0,1.92080450057983,-8.8002185821533
"B cells",1.95948932328818,0,1.95948932328818,0,0,0,0,1.39818618843915,0,0,1.95948932328818,0,3.93998408317566,-8.7425909042358
"CD4 T cells",0,0,2.30999856153725,2.30999856153725,2.30999856153725,0,0,0,0,0,0,0,3.87023377418518,2.91642451286316
"CD14+ Monocytes",0,2.13468017380076,5.46303393537414,0,0,0,0,3.29917194806256,0,0,0,0,-1.2490301132202,2.88860893249512
"B cells",2.26430227536865,0,1.67000672770644,0,0,0,0,0,0,0,1.67000672770644,0,3.02461862564087,-9.4972372055054
"CD4 T cells",0,0,0,2.0896582942802,0,0,0,0,0,0,0,0,3.65292859077454,2.45849299430847
"CD4 T cells",0,0,2.09714111877924,0,0,1.51982575374441,0,0,0,0,0,0,2.73533153533936,0.657905399799347
"FCGR3A+ Monocytes",0,0,2.59021430992638,1.83823143450616,1.01588412103959,0,0,4.56577863371833,2.08532623654161,1.01588412103959,0,1.50930994415174,-6.4765892028809,1.66677296161652
"CD4 T cells",0,0,1.35566890901177,2.52712128196996,0,0,0,0,1.35566890901177,0,0,0,2.14016723632812,0.0292165167629719
"CD4 T cells",0,0,2.09370258383181,2.09370258383181,2.93317921042278,0,0,0,0,0,0,0,5.74694335460663,-1.62850630283356
"FCGR3A+ Monocytes",0,0,2.57355858385909,0,1.76557996364628,0,0,2.36930147343163,4.03807494617081,0,0,0,-6.8785991668701,1.51111435890198
"CD4 T cells",0,0,0,2.43983991154884,3.4785784754726,0,0,0,0,0,0,0,5.06033253669739,2.41564249992371
"B cells",3.23202500397852,0,0,0,0,0,0,0,0,2.5775959831465,0,0,1.75738430023193,-8.1895570755005
"CD14+ Monocytes",0,1.97884935681483,5.26923264144035,1.41517501661356,0,0,0,3.86614878525999,0,0,0,1.41517501661356,-2.9542407989502,2.01242661476135
"CD4 T cells",0,0,0,0,1.89939013342042,1.89939013342042,0,1.89939013342042,0,0,0,1.89939013342042,4.53022575378418,-0.756860673427582
"CD14+ Monocytes",0,2.10945561207603,5.20452197512725,0,0,0,0,4.51685144527161,0,0,0,0,-3.3081903457642,1.52814126014709
"CD4 T cells",0,0,0,1.53678872974404,2.11616756792241,0,0,0,0,0,0,0,4.90383410453796,1.93595683574677
"CD14+ Monocytes",0,1.588336428744,5.44172604489598,0,0,0,0,4.97767898552851,0,0,0,1.588336428744,-1.4865140914917,2.87025928497314
"FCGR3A+ Monocytes",0,1.47433669857198,3.80189082256537,0,0,0,0,3.87440262776062,2.67225372968421,0,0,0,-5.1498565673828,1.8456826210022
"CD4 T cells",0,0,0,2.40458873821696,3.19890609160254,0,0,0,0,0,0,0,2.78725004196167,0.728095233440399
"NK cells",0,0,1.56578786619843,2.14860478865585,2.5144115335665,0,0,0,2.14860478865585,0,5.187178481801,3.75304813689624,9.00608325004578,0.0305873677134514
"CD8 T cells",0,0,0,2.8887440727415,2.8887440727415,0,0,0,0,0,1.65683308016806,3.55367383209292,6.84096759557724,1.05939102172852
"CD4 T cells",0,0,0,2.54370736177645,2.54370736177645,0,0,1.36906976229229,0,0,0,1.36906976229229,6.73911601305008,0.753261506557465
"CD4 T cells",0,0,2.9634917335788,0,2.32069378202026,0,0,0,1.72122402067561,0,0,0,4.4953088760376,1.52283227443695
"CD4 T cells",0,0,1.55185924223159,2.13303872768881,1.55185924223159,0,0,0,0,0,0,0,2.97090864181519,-0.935767710208893
"CD4 T cells",0,0,0,0,2.35191829274565,1.74969568161059,0,0,0,0,0,0,3.20939350128174,-0.909877419471741
